date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:57	3004/3004	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6e-bbc%22	https://nuvei.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation-base.css?ver=1.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation-base2846.css	(from https://nuvei.com/)
19:02:57	730/730	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%227d92d79422067103d3cff2af81639e13-gzip%22	https://nuvei.com/sample-page/feed/	C:/My%20Web%20Sites/nuvei/nuvei.com/sample-page/feed/index.html	(from https://nuvei.com/)
19:02:57	2374/2374	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6e-946%22	https://nuvei.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation.css?ver=1.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation2846.css	(from https://nuvei.com/)
19:02:57	18680/18680	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6c-48f8%22	https://nuvei.com/wp-content/themes/nuvei/style.css?ver=5.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/style24b2.css	(from https://nuvei.com/)
19:02:58	195463/195463	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6d-2fb87%22	https://nuvei.com/wp-content/themes/nuvei/compiledcss/customBootstrap.css?ver=v8	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/compiledcss/customBootstrap253c.css	(from https://nuvei.com/)
19:02:58	48649/48649	---MCZ	200	added ('OK')	text/css	etag:W/%2210519cfd3206802f58315b877a9beab5%22	https://use.fontawesome.com/releases/v5.3.1/css/all.css?ver=5.5.5	C:/My%20Web%20Sites/nuvei/use.fontawesome.com/releases/v5.3.1/css/all24b2.css	(from https://nuvei.com/)
19:02:58	77749/77749	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6c-12fb5%22	https://nuvei.com/wp-content/themes/nuvei/css/animate.css?ver=v8	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/css/animate253c.css	(from https://nuvei.com/)
19:02:58	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6c-d17%22	https://nuvei.com/wp-content/themes/nuvei/owlcarousel/assets/owl.carousel.min.css?ver=v8	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/owlcarousel/assets/owl.carousel.min253c.css	(from https://nuvei.com/)
19:02:59	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6c-3f5%22	https://nuvei.com/wp-content/themes/nuvei/owlcarousel/assets/owl.theme.default.min.css?ver=v8	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/owlcarousel/assets/owl.theme.default.min253c.css	(from https://nuvei.com/)
19:02:59	45681/45681	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6d-b271%22	https://nuvei.com/wp-content/themes/nuvei/css/fontawesome/css/fontawesome.min.css?ver=v8	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/css/fontawesome/css/fontawesome.min253c.css	(from https://nuvei.com/)
19:02:59	598/598	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6c-256%22	https://nuvei.com/wp-content/themes/nuvei/css/fontawesome/css/fa-light.min.css?ver=v8	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/css/fontawesome/css/fa-light.min253c.css	(from https://nuvei.com/)
19:02:59	3201/3201	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6c-c81%22	https://nuvei.com/wp-content/themes/nuvei/css/jquery.modal.min.css?ver=v11.1	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/css/jquery.modal.mina839.css	(from https://nuvei.com/)
19:03:00	118862/118862	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6d-1d04e%22	https://nuvei.com/wp-content/themes/nuvei/compiledcss/theme.css?ver=v11.1	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/compiledcss/themea839.css	(from https://nuvei.com/)
19:03:00	89635/89635	---MCZ	200	added ('OK')	text/css	etag:W/%22612f0b6d-15e23%22	https://nuvei.com/wp-content/themes/nuvei/compiledcss/axial.css?ver=5.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/compiledcss/axial24b2.css	(from https://nuvei.com/)
19:03:00	9332/9332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-2474%22	https://nuvei.com/wp-content/plugins/cookie-notice/js/front.min.js?ver=1.3.2	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/cookie-notice/js/front.min9e1e.js	(from https://nuvei.com/)
19:03:00	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b61-17a69%22	https://nuvei.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-includes/js/jquery/jquery4a5f.js	(from https://nuvei.com/)
19:03:01	24436/24436	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-5f74%22	https://nuvei.com/wp-content/plugins/enable-jquery-migrate-helper/js/jquery-migrate-1.4.1-wp.js?ver=1.4.1-wp	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/enable-jquery-migrate-helper/js/jquery-migrate-1.4.1-wp8952.js	(from https://nuvei.com/)
19:03:01	486/486	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b70-1e6%22	https://nuvei.com/wp-content/plugins/stop-user-enumeration/frontend/js/frontend.js?ver=1.3.31	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/stop-user-enumeration/frontend/js/frontendb239.js	(from https://nuvei.com/)
19:03:01	517/517	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-205%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-outbound-click-tracker.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-outbound-click-trackere899.js	(from https://nuvei.com/)
19:03:01	545/545	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-221%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-download-tracker.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-download-trackere899.js	(from https://nuvei.com/)
19:03:02	868/868	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-364%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-contact-form-7-tracker.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-contact-form-7-trackere899.js	(from https://nuvei.com/)
19:03:02	1487/1487	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-5cf%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-tracker.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-form-move-trackere899.js	(from https://nuvei.com/)
19:03:02	3099/3099	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-c1b%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-social-tracker.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-social-trackere899.js	(from https://nuvei.com/)
19:03:02	7076/7076	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-1ba4%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-youtube.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-youtubee899.js	(from https://nuvei.com/)
19:03:02	19766/19766	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Sep%202021%2011:03:04%20GMT	https://player.vimeo.com/api/player.js?ver=1.0	C:/My%20Web%20Sites/nuvei/player.vimeo.com/api/player5152.js	(from https://nuvei.com/)
19:03:03	6985/6985	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-1b49%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-vimeo.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/gtm4wp-vimeoe899.js	(from https://nuvei.com/)
19:03:03	3725/3725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b72-e8d%22	https://nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/analytics-talk-content-tracking.js?ver=1.11.4	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/plugins/duracelltomi-google-tag-manager/js/analytics-talk-content-trackinge899.js	(from https://nuvei.com/)
19:03:03	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b6d-4af4%22	https://nuvei.com/wp-content/themes/nuvei/assets/js/popper.min.js?ver=5.5.5	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/assets/js/popper.min24b2.js	(from https://nuvei.com/)
19:03:04	51045/51045	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b6c-c765%22	https://nuvei.com/wp-content/themes/nuvei/js/bootstrap.min.js?ver=4.1.2	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/js/bootstrap.min8aee.js	(from https://nuvei.com/)
19:03:04	4957/4957	---MCZ	200	added ('OK')	application/javascript	etag:W/%22612f0b6c-135d%22	https://nuvei.com/wp-content/themes/nuvei/js/jquery.modal.min.js?ver=0.9.1	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/js/jquery.modal.min8512.js	(from https://nuvei.com/)
19:03:05	768/768	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Sep%202021%2011:03:06%20GMT	https://nuvei.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/nuvei/nuvei.com/xmlrpc0db0.php	(from https://nuvei.com/)
19:03:05	191639/191639	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2011:03:07%20GMT	https://nuvei.com/wp-json/	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-json/index.html	(from https://nuvei.com/)
19:03:06	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22612f0b61-415%22	https://nuvei.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-includes/wlwmanifest.xml	(from https://nuvei.com/)
19:03:07	2589/2589	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Sep%202021%2011:03:08%20GMT	https://nuvei.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnuvei.com%2F	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-json/oembed/1.0/embed83ce.json	(from https://nuvei.com/)
19:03:07	2729/2729	---MCZ	200	added ('OK')	text/xml	date:Wed,%2008%20Sep%202021%2011:03:09%20GMT	https://nuvei.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnuvei.com%2F&format=xml	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-json/oembed/1.0/embedcfca	(from https://nuvei.com/)
19:03:08	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2008%20Sep%202021%2011:03:09%20GMT	https://nuvei.com/xmlrpc.php	C:/My%20Web%20Sites/nuvei/nuvei.com/xmlrpc.php	(from https://nuvei.com/)
19:03:09	43/43	---M-Z	200	added ('OK')	text/javascript	etag:W/%224847f03fd4d8e47fdd265075051c5ba6%22	https://www.bugherd.com/sidebarv2.js?apikey=osxmn07xhqwvpn9czut3xw	C:/My%20Web%20Sites/nuvei/www.bugherd.com/sidebarv28b9d.js	(from https://nuvei.com/)
19:03:09	31614/31614	---M--	200	added ('OK')	image/jpeg	etag:%22612f0b6c-7b7e%22	https://nuvei.com/wp-content/uploads/2018/09/logo.jpg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2018/09/logo.jpg	(from https://nuvei.com/)
19:03:10	5727/5727	---M--	200	added ('OK')	image/png	etag:%22612f0b69-165f%22	https://nuvei.com/wp-content/uploads/2020/07/Nuvei-logo-footer.png	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2020/07/Nuvei-logo-footer.png	(from https://nuvei.com/)
19:03:10	1390/1390	---M--	200	added ('OK')	image/png	etag:%22612f0b6d-56e%22	https://nuvei.com/wp-content/themes/nuvei/img/x_exit.png	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/themes/nuvei/img/x_exit.png	(from https://nuvei.com/)
19:03:11	88789/88789	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:12%20GMT	https://nuvei.com/contact/	C:/My%20Web%20Sites/nuvei/nuvei.com/contact/index.html	(from https://nuvei.com/)
19:03:11	404109/404109	---M--	200	added ('OK')	image/png	etag:%22612f0b6b-62a8d%22	https://nuvei.com/wp-content/uploads/2020/07/homepage-2.png	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2020/07/homepage-2.png	(from https://nuvei.com/)
19:03:12	4722/4722	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-1272%22	https://nuvei.com/wp-content/uploads/2021/07/freshbooks-logo.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/freshbooks-logo.svg	(from https://nuvei.com/)
19:03:13	82982/82982	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:13%20GMT	https://nuvei.com/search/	C:/My%20Web%20Sites/nuvei/nuvei.com/search/index.html	(from https://nuvei.com/)
19:03:13	98077/98077	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:13%20GMT	https://nuvei.com/language-selector/	C:/My%20Web%20Sites/nuvei/nuvei.com/language-selector/index.html	(from https://nuvei.com/)
19:03:13	85518/85518	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:13%20GMT	https://nuvei.com/developers-integrators/	C:/My%20Web%20Sites/nuvei/nuvei.com/developers-integrators/index.html	(from https://nuvei.com/)
19:03:13	83596/83596	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:14%20GMT	https://nuvei.com/login/	C:/My%20Web%20Sites/nuvei/nuvei.com/login/index.html	(from https://nuvei.com/)
19:03:13	365289/365289	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-592e9%22	https://nuvei.com/wp-content/uploads/2021/07/ywca.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/ywca.svg	(from https://nuvei.com/)
19:03:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Sep%202021%2011:03:15%20GMT	https://nuvei.com/en-ca/payment-solutions/platform-overview/	C:/My%20Web%20Sites/nuvei/nuvei.com/en-ca/payment-solutions/platform-overview/index.html	(from https://nuvei.com/)
19:03:14	365289/365289	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-592e9%22	https://nuvei.com/wp-content/uploads/2021/07/worlddutyfree.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/worlddutyfree.svg	(from https://nuvei.com/)
19:03:14	105794/105794	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:16%20GMT	https://nuvei.com/payment-solutions/platform-overview/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/platform-overview/index.html	(from https://nuvei.com/)
19:03:16	119375/119375	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:16%20GMT	https://nuvei.com/payment-solutions/mobile-payments/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/mobile-payments/index.html	(from https://nuvei.com/)
19:03:16	365289/365289	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-592e9%22	https://nuvei.com/wp-content/uploads/2021/07/williamhill.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/williamhill.svg	(from https://nuvei.com/)
19:03:17	100246/100246	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:17%20GMT	https://nuvei.com/payment-solutions/mobile-payments/apple-pay-and-google-pay/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/mobile-payments/apple-pay-and-google-pay/index.html	(from https://nuvei.com/)
19:03:17	128434/128434	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:16%20GMT	https://nuvei.com/payment-solutions/online-payments/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/online-payments/index.html	(from https://nuvei.com/)
19:03:17	220282/220282	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-35c7a%22	https://nuvei.com/wp-content/uploads/2021/07/wargaming.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/wargaming.svg	(from https://nuvei.com/)
19:03:17	104035/104035	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:19%20GMT	https://nuvei.com/payment-solutions/in-store-payments/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/in-store-payments/index.html	(from https://nuvei.com/)
19:03:19	101747/101747	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:19%20GMT	https://nuvei.com/payment-solutions/in-store-payments/poynt-smart-terminal/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/in-store-payments/poynt-smart-terminal/index.html	(from https://nuvei.com/)
19:03:20	119373/119373	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:20%20GMT	https://nuvei.com/payment-solutions/omnichannel-payments/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/omnichannel-payments/index.html	(from https://nuvei.com/)
19:03:20	365289/365289	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-592e9%22	https://nuvei.com/wp-content/uploads/2021/07/volvo.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/volvo.svg	(from https://nuvei.com/)
19:03:20	117109/117109	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:20%20GMT	https://nuvei.com/apm/	C:/My%20Web%20Sites/nuvei/nuvei.com/apm/index.html	(from https://nuvei.com/)
19:03:20	220294/220294	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-35c86%22	https://nuvei.com/wp-content/uploads/2021/07/valve.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/valve.svg	(from https://nuvei.com/)
19:03:21	125675/125675	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:22%20GMT	https://nuvei.com/payment-solutions/cryptocurrency-payments/	C:/My%20Web%20Sites/nuvei/nuvei.com/payment-solutions/cryptocurrency-payments/index.html	(from https://nuvei.com/)
19:03:22	83548/83548	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:22%20GMT	https://nuvei.com/partners/	C:/My%20Web%20Sites/nuvei/nuvei.com/partners/index.html	(from https://nuvei.com/)
19:03:22	111094/111094	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:22%20GMT	https://nuvei.com/marketplace/	C:/My%20Web%20Sites/nuvei/nuvei.com/marketplace/index.html	(from https://nuvei.com/)
19:03:22	220282/220282	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-35c7a%22	https://nuvei.com/wp-content/uploads/2021/07/valentino.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/valentino.svg	(from https://nuvei.com/)
19:03:23	117324/117324	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:23%20GMT	https://nuvei.com/features/global-acquiring/	C:/My%20Web%20Sites/nuvei/nuvei.com/features/global-acquiring/index.html	(from https://nuvei.com/)
19:03:23	220282/220282	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-35c7a%22	https://nuvei.com/wp-content/uploads/2021/07/unikrn.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/unikrn.svg	(from https://nuvei.com/)
19:03:23	220282/220282	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-35c7a%22	https://nuvei.com/wp-content/uploads/2021/07/travian.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/travian.svg	(from https://nuvei.com/)
19:03:25	113154/113154	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:25%20GMT	https://nuvei.com/features/revenue-optimization/	C:/My%20Web%20Sites/nuvei/nuvei.com/features/revenue-optimization/index.html	(from https://nuvei.com/)
19:03:25	116625/116625	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:25%20GMT	https://nuvei.com/features/fraud-and-risk-management/	C:/My%20Web%20Sites/nuvei/nuvei.com/features/fraud-and-risk-management/index.html	(from https://nuvei.com/)
19:03:26	365289/365289	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-592e9%22	https://nuvei.com/wp-content/uploads/2021/07/toyota.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/toyota.svg	(from https://nuvei.com/)
19:03:26	131580/131580	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:25%20GMT	https://nuvei.com/features/local-acquiring/	C:/My%20Web%20Sites/nuvei/nuvei.com/features/local-acquiring/index.html	(from https://nuvei.com/)
19:03:28	85396/85396	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2011:03:28%20GMT	https://nuvei.com/insights/case-studies/	C:/My%20Web%20Sites/nuvei/nuvei.com/insights/case-studies/index.html	(from https://nuvei.com/)
19:03:28	365289/365289	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22612f0b63-592e9%22	https://nuvei.com/wp-content/uploads/2021/07/topgolf.svg	C:/My%20Web%20Sites/nuvei/nuvei.com/wp-content/uploads/2021/07/topgolf.svg	(from https://nuvei.com/)
